feature,importance
fruitset,0.8948190748799968
seeds,0.07868426556287644
fruitmass,0.0121933226692955
row#,0.0037404803034825664
osmia,0.00159491808814323
rainingdays,0.0014171512647074226
averagerainingdays,0.0011867518725989176
andrena,0.001144158602415864
minofuppertrange,0.000795580331416946
averageoflowertrange,0.0007546278326920041
averageofuppertrange,0.0007280458490124305
maxoflowertrange,0.0007211942214796073
maxofuppertrange,0.000693537037817768
minoflowertrange,0.0006704683955526742
honeybee,0.0003811771008683781
clonesize,0.00026856863668093416
bumbles,0.00020667735096255565
